datetime,hora,temp_ar,umidade,vento_vel,precipitacao,pressao,hora_num,mes,ESTACAO_ID
2024-01-08 00:00:00,00:00,30.736363636363638,50.27272727272727,1.709090909090909,0.0,967.5454545454545,0,1,petrolina
2024-01-08 01:00:00,01:00,30.779545454545456,49.90909090909091,1.7386363636363635,0.0,967.5431818181818,1,1,petrolina
2024-01-08 02:00:00,02:00,30.822727272727274,49.54545454545455,1.768181818181818,0.0,967.540909090909,2,1,petrolina
2024-01-08 03:00:00,03:00,30.865909090909092,49.18181818181818,1.7977272727272726,0.0,967.5386363636363,3,1,petrolina
2024-01-08 04:00:00,04:00,30.90909090909091,48.81818181818182,1.8272727272727272,0.0,967.5363636363636,4,1,petrolina
2024-01-08 05:00:00,05:00,30.952272727272728,48.45454545454545,1.8568181818181817,0.0,967.5340909090909,5,1,petrolina
2024-01-08 06:00:00,06:00,30.995454545454546,48.09090909090909,1.8863636363636362,0.0,967.5318181818182,6,1,petrolina
2024-01-08 07:00:00,07:00,31.038636363636364,47.72727272727273,1.9159090909090908,0.0,967.5295454545454,7,1,petrolina
2024-01-08 08:00:00,08:00,31.081818181818182,47.36363636363636,1.9454545454545453,0.0,967.5272727272727,8,1,petrolina
2024-01-08 09:00:00,09:00,31.125,47.0,1.9749999999999999,0.0,967.525,9,1,petrolina
2024-01-08 10:00:00,10:00,31.168181818181818,46.63636363636364,2.0045454545454544,0.0,967.5227272727273,10,1,petrolina
2024-01-08 11:00:00,11:00,31.211363636363636,46.27272727272727,2.034090909090909,0.0,967.5204545454545,11,1,petrolina
2024-01-08 12:00:00,12:00,31.254545454545458,45.90909090909091,2.0636363636363635,0.0,967.5181818181818,12,1,petrolina
2024-01-08 13:00:00,13:00,31.297727272727276,45.54545454545455,2.093181818181818,0.0,967.5159090909091,13,1,petrolina
2024-01-08 14:00:00,14:00,31.340909090909093,45.18181818181818,2.1227272727272726,0.0,967.5136363636364,14,1,petrolina
2024-01-08 15:00:00,15:00,31.38409090909091,44.81818181818182,2.1522727272727273,0.0,967.5113636363636,15,1,petrolina
2024-01-08 16:00:00,16:00,31.42727272727273,44.45454545454545,2.1818181818181817,0.0,967.5090909090909,16,1,petrolina
2024-01-08 17:00:00,17:00,31.470454545454547,44.09090909090909,2.211363636363636,0.0,967.5068181818182,17,1,petrolina
2024-01-08 18:00:00,18:00,31.513636363636365,43.72727272727273,2.2409090909090907,0.0,967.5045454545455,18,1,petrolina
2024-01-08 19:00:00,19:00,31.556818181818183,43.36363636363636,2.2704545454545455,0.0,967.5022727272727,19,1,petrolina
